machine,accuracy,macro_precision,macro_recall,macro_f1,clean_accuracy,clean_macro_f1,robustness_accuracy,robustness_macro_f1,robustness_noise_sigma,robustness_repeats,selected_model,validation_macro_f1,evaluation_protocol,window_size,minimum_class_recall
moteur,0.9822666666666666,0.9823062604973168,0.9822666666666667,0.9822661105318929,0.9986666666666667,0.9986666613333121,0.9822666666666666,0.9822661105318929,0.2,20,extra_trees,"{'random_forest': 0.9955553580159119, 'extra_trees': 0.9977777530861452}",held_out_non_overlapping_windows_with_feature_uncertainty_stress_test,100000,0.9678
pompe,0.9976666666666667,0.9976828864614365,0.9976666666666666,0.9976666380829832,1.0,1.0,0.9976666666666667,0.9976666380829832,0.2,20,random_forest,"{'random_forest': 1.0, 'extra_trees': 1.0}",held_out_non_overlapping_windows_with_feature_uncertainty_stress_test,20,0.993
compresseur,0.9202523240371846,0.9351097863829659,0.9202523240371846,0.9191333975187227,0.9933598937583001,0.9933596566069433,0.9202523240371846,0.9191333975187227,0.2,20,extra_trees,"{'random_forest': 0.9910207294965323, 'extra_trees': 0.9966367186104703}",held_out_non_overlapping_windows_with_feature_uncertainty_stress_test,30,0.7627490039840638
echangeur,0.9798958333333333,0.9804543079194499,0.9798958333333333,0.9798868840770419,0.9833333333333333,0.9833229101521784,0.9798958333333333,0.9798868840770419,0.2,20,random_forest,"{'random_forest': 1.0, 'extra_trees': 1.0}",held_out_non_overlapping_windows_with_feature_uncertainty_stress_test,30,0.94875
